snapshot_date,target,market,vin,year,trim,miles,price,dealer,city,state,listed_since,url
2026-08-23,i5-edrive40,Cincinnati,WBY33FK09RCR14004,2024,eDrive40,15722,47359,,Indianapolis,IN,2026-08-09,
2026-08-23,i5-edrive40,Chicago,WBY33FK09RCP96469,2024,eDrive40,15707,46216,,Madison,WI,2026-08-09,
2026-08-23,i5-edrive40,Chicago,WBY33FK09RCR14004,2024,eDrive40,15722,47359,,Indianapolis,IN,2026-08-09,
2026-08-23,i5-edrive40,Indianapolis,WBY33FK09RCR14004,2024,eDrive40,15722,47359,,Indianapolis,IN,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK08RCR89549,2024,eDrive40,16217,225,,Plano,TX,2026-08-20,
2026-08-23,i5-edrive40,National,WBY33FK02RCP44486,2024,eDrive40,37722,34551,,San Francisco,CA,2026-05-10,
2026-08-23,i5-edrive40,National,WBY33FK02RCS81412,2024,eDrive40,35129,36989,,Seffner,FL,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK01RCR76593,2024,eDrive40,51313,37598,,Ontario,CA,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK08RCS83536,2024,eDrive40,17263,37868,,San Diego,CA,2026-07-11,
2026-08-23,i5-edrive40,National,WBY33FK06RCR58557,2024,eDrive40,37394,38521,,San Jose,CA,2026-04-29,
2026-08-23,i5-edrive40,National,WBY33FK02RCS83564,2024,eDrive40,20224,38698,,Torrance,CA,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK00RCR12965,2024,eDrive40,47618,39995,,Salt Lake City,UT,2026-08-15,
2026-08-23,i5-edrive40,National,WBY33FK08RCP70798,2024,eDrive40,47982,40083,,Riverside,CA,2026-08-17,
2026-08-23,i5-edrive40,National,WBY33FK04RCR68522,2024,eDrive40,40675,40794,,Silver Spring,MD,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK06RCR47204,2024,eDrive40,31382,40897,,Marietta,GA,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK05RCS80027,2024,eDrive40,29317,40990,,Sacramento,CA,2026-08-11,
2026-08-23,i5-edrive40,National,WBY33FK00RCP55213,2024,eDrive40,37462,41223,,Houston,TX,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK09RCP87626,2024,eDrive40,24472,41477,,Wilmington,NC,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK09RCP82409,2024,eDrive40,30529,41590,,Dallas,TX,2026-08-11,
2026-08-23,i5-edrive40,National,WBY33FK05RCS37890,2024,eDrive40,18143,41987,,Sherman Oaks,CA,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK06RCR50278,2024,eDrive40,40525,41990,,Sacramento,CA,2026-08-16,
2026-08-23,i5-edrive40,National,WBY33FK04RCS86613,2024,eDrive40,32616,41990,,Tampa,FL,2026-08-20,
2026-08-23,i5-edrive40,National,WBY33FK01RCS76878,2024,eDrive40,19147,41999,,West Covina,CA,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK06RCR93843,2024,eDrive40,21736,42226,,Buena Park,CA,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK02RCS61015,2024,eDrive40,17289,42500,,Union City,GA,2026-08-11,
2026-08-23,i5-edrive40,National,WBY33FK0XRCP53727,2024,eDrive40,39477,42616,,Greensboro,NC,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK0XRCP36412,2024,eDrive40,36578,42901,,Decatur,GA,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK09RCP95158,2024,eDrive40,35049,42977,,Wilmington,NC,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK03RCR30750,2024,eDrive40,30167,42987,,Alpharetta,GA,2026-08-14,
2026-08-23,i5-edrive40,National,WBY33FK03RCS37886,2024,eDrive40,22912,42990,,Atlanta,GA,2026-08-19,
2026-08-23,i5-edrive40,National,WBY33FK06RCN91322,2024,eDrive40,19174,42997,,Denver,CO,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK01RCS37885,2024,eDrive40,32592,42998,,Katy,TX,2026-07-30,
2026-08-23,i5-edrive40,National,WBY33FK08RCR89213,2024,eDrive40,18092,42999,,Ontario,CA,2026-08-17,
2026-08-23,i5-edrive40,National,WBY33FK05RCS41308,2024,eDrive40,18056,43590,,,,2026-08-18,
2026-08-23,i5-edrive40,National,WBY33FK09RCR29277,2024,eDrive40,26983,43590,,Indianapolis,IN,2026-08-11,
2026-08-23,i5-edrive40,National,WBY33FK07RCR83662,2024,eDrive40,6702,43694,,Reno,NV,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK00RCP40114,2024,eDrive40,18067,43771,,San Francisco,CA,2026-07-18,
2026-08-23,i5-edrive40,National,WBY33FK05RCS39462,2024,eDrive40,16158,43815,,Austin,TX,2026-06-25,
2026-08-23,i5-edrive40,National,WBY33FK07RCS39463,2024,eDrive40,31746,43990,,Atlanta,GA,2026-08-11,
2026-08-23,i5-edrive40,National,WBY33FK00RCS84678,2024,eDrive40,14383,43990,,Atlanta,GA,2026-08-18,
2026-08-23,i5-edrive40,National,WBY33FK09RCS35723,2024,eDrive40,31492,43995,,The Woodlands,TX,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK00RCR93000,2024,eDrive40,1899,54459,,Spokane,WA,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK03RCP55559,2024,eDrive40,5171,45999,,Ontario,CA,2026-08-09,
